"agency_id","agency_name","address","city","state","zip_code","coordinate_source","latitude","longitude","matched_label","manual_check_reason"
"cm7a0bgom02ysewvg8locwo1c","SNYDER FIRE DEPARTMENT","PO BOX 1341","SNYDER","TX","79550-1341","place_centroid","32.7180803","-100.918231","Snyder, Scurry County, Texas, 79549, United States","Review: coordinate uses place centroid."
"cm7a0bgo700drewvg53nikxy5","HARDIN CO. CONST. PCT. 4","P.O. Box 1201","Sour Lake","TX","77659","place_centroid","30.1402122","-94.4110239","Sour Lake, Hardin County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgo6006xewvgdisjtmoa","SOUTHMAYD POLICE DEPARTMENT","PO BOX 88","Southmayd","TX","76268-0088","place_centroid","33.6293127","-96.7692279","Southmayd, Grayson County, Texas, United States","Review: coordinate uses place centroid."
"cm76wpxb400vsvrvg19d8yzbl","CAMERON CO. PARK RANGER DIV.","7300 Park Rd 100","South Padre Island","TX","78597","place_centroid","26.1036887","-97.1646938","South Padre Island, Cameron County, Texas, 78597, United States","Review: coordinate uses place centroid."
"cm7a0bgo700d0ewvgu34x2xx7","HANSFORD CO. SHERIFF'S OFFICE","10 NORHTWEST COURT","SPEARMAN","TX","79081","place_centroid","36.1938947","-101.1921818","Spearman, Hansford County, Texas, 79081, United States","Review: coordinate uses place centroid."
"cm7a0bgoj02jfewvg93vpufy6","SPRINGTOWN POLICE DEPT.","P. O. BOX 444","SPRINGTOWN","TX","76082-0444","place_centroid","32.9659566","-97.6836384","Springtown, Parker County, Texas, 76082, United States","Review: coordinate uses place centroid."
"cm76wpxb701d5vrvgc6uqql66","White River Water District Police Dept","2880 FM 2794","SPUR","TX","79370-5748","place_centroid","33.4764767","-100.855685","Spur, Dickens County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgo600b5ewvg2kryxscz","City of Staples Police Dept.","P.O. Box 27","Staples","TX","78670","place_centroid","29.7814808","-97.8364866","Staples, Guadalupe County, Texas, United States","Review: coordinate uses place centroid."
"cm76wpxbb01zfvrvgibvty9ai","266th Judicial District Comm. Supv. and Corr. Dept.","112 COLLEGE, RM. 102","STEPHENVILLE","TX","76401","place_centroid","32.2201387","-98.2045388","Stephenville, Erath County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgon034jewvg9oi3sb78","STERLING CO. SHERIFF'S OFFICE","609 4TH STREET P.O. BOX 928","STERLING CITY","TX","76951-0928","place_centroid","31.8384837","-100.9850761","Sterling City, Sterling County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgob012zewvgftx3bijn","HUTCHINSON CO. CONST. PCT. 1","PO BOX 640 500 S. Main St.","STINNETT","TX","79083-0640","place_centroid","35.8270078","-101.442715","Stinnett, Hutchinson County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgob0135ewvg5faxppfy","HUTCHINSON CO. DIST. ATTY.'S OFFICE","P.O. BOX 3431","STINNETT","TX","79083-3431","place_centroid","35.826872","-101.4428331","Stinnett, Hutchinson County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgob013hewvg0yeiysbj","STINNETT POLICE DEPT.","P.O. BOX 909","STINNETT","TX","79083-0909","place_centroid","35.827157","-101.4428157","Stinnett, Hutchinson County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgos0416ewvgoapu6ud3","Stockdale Marshal's Office","P.O. Box 446","Stockdale","TX","78160","place_centroid","29.2339501","-97.9607748","Stockdale, Wilson County, Texas, 78160, United States","Review: coordinate uses place centroid."
"cm7a0bgoj02hdewvg8kjhdrrs","PALO PINTO CO. CONST. PCT. 4","P. O. Box 125","Strawn","TX","76475","place_centroid","32.5520737","-98.4981091","Strawn, Palo Pinto County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgoe01k7ewvgv0xkykb3","SUDAN ISD POLICE DEPARTMENT","BOX 249","SUDAN","TX","79371","place_centroid","34.0671235","-102.5244433","Sudan, Lamb County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgoe01k1ewvg60bmoa0f","SUDAN POLICE DEPARTMENT","PO BOX 59","SUDAN","TX","79371-0059","place_centroid","34.0672691","-102.5245491","Sudan, Lamb County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxbc023zvrvgqz1pupk2","FORT BEND CO. CONST. PCT. 3","151 Stadium Dr., Suite 139","Sugar Land","TX","77498","place_centroid","29.6196787","-95.6349463","Sugar Land, Fort Bend County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgo900sxewvgmuh3hqzg","SULLIVAN CITY POLICE DEPT.","500 S Cenizo Drive","Sullivan City","TX","78595-0249","place_centroid","26.277693","-98.5636586","Sullivan City, Hidalgo County, Texas, 78595, United States","Review: coordinate uses place centroid."
"cm7a0bgoi02d2ewvgwy1zmw6u","NOLAN CO. DIST. ATTY.'S OFFICE","100 E 3RD, RM 201A COUNTY COURTHOUSE","SWEETWATER","TX","79556","place_centroid","32.4709519","-100.405938","Sweetwater, Nolan County, Texas, 79556, United States","Review: coordinate uses place centroid."
"cm7a0bgof01u8ewvgnrshn592","Lynn Co. Juvenile Probation Department","P.O. Box 1166","Tahoka","TX","79373","place_centroid","33.1647623","-101.797109","Tahoka, Lynn County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgol02trewvgvzdt84pv","RUSK CO. CONST. PCT. 2","150 W Davis St PO BOX 1034","TATUM","TX","75691","place_centroid","32.315053","-94.5163729","Tatum, Rusk County, Texas, 75691, United States","Review: coordinate uses place centroid."
"cm7a0bgom02z7ewvg9qk94hp4","SHELBY CO. CONST. PCT. 1","1866 R 4310","Tenaha","TX","75974","place_centroid","31.9437799","-94.2440865","Tenaha, Shelby County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgom02zfewvgf1au2bgt","SHELBY CO. CONST. PCT. 4","P.O Box 902","TENAHA","TX","75974","place_centroid","31.9436026","-94.2441178","Tenaha, Shelby County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgom02ztewvg83t9zmat","Tenaha Police Department","P.O. Box 70","Tenaha","TX","75974-0070","place_centroid","31.9438295","-94.2442595","Tenaha, Shelby County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxb100izvrvglhu96635","BOWIE CO. CONST. PCT. 1","100 North State Line, Box 14","Texarkana","TX","75501","place_centroid","33.4466745","-94.0771483","Texarkana, Bowie County, Texas, United States","Review: coordinate uses place centroid."
"cm76wpxb100iwvrvgvs9a5ijb","BOWIE CO. SHERIFF'S OFFICE","100 NORTH STATELINE BOX 18","TEXARKANA","TX","75501","place_centroid","33.4464947","-94.0771389","Texarkana, Bowie County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxb200jtvrvgm5rpllna","TEXARKANA POLICE DEPARTMENT","TEXAS POLICE 100 N STATE LINE AVE RM 16","TEXARKANA","TX","75501-5672","place_centroid","33.4464963","-94.0771734","Texarkana, Bowie County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxb200jwvrvgq6bx70hb","WAKE VILLAGE POLICE DEPT.","PO BOX 3776","TEXARKANA","TX","75501-1900","place_centroid","33.4465366","-94.077264","Texarkana, Bowie County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgog01xaewvglncxr7jp","BRAZOS RIVER AUTHORITY","20226 Sterling Robertson Dam Road Limestone Lake","Thornton","TX","76687","place_centroid","31.4110077","-96.5722013","Thornton, Limestone County, Texas, 76687, United States","Review: coordinate uses place centroid."
"cm7a0bgof01qdewvg1ws2pfl3","LIVE OAK CO. CONST. PCT. 2","P. O. BOX 135","THREE RIVERS","TX","78071-0135","place_centroid","28.4647614","-98.1809755","Three Rivers, Live Oak County, Texas, 78071, United States","Review: coordinate uses place centroid."
"cm7a0bgoo03cmewvggh39bi49","THROCKMORTON CO. SHERIFF'S OFFICE","P. O. BOX 578 108 POGUE STREET","THROCKMORTON","TX","76483-0578","place_centroid","33.1787153","-99.1775756","Throckmorton, Throckmorton County, Texas, 76483, United States","Review: coordinate uses place centroid."
"cm7a0bgog01ybewvguehnoju5","MCMULLEN CO. CONST. PCT. 3","P. O. BOX 237","TILDEN","TX","78072","place_centroid","28.4600647","-98.5482896","Tilden, McMullen County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgom02ziewvgejc412ku","SHELBY CO. CONST. PCT. 5","PO Box 825","Timpson","TX","75975","place_centroid","31.9037814","-94.3952022","Timpson, Shelby County, Texas, 75975, United States","Review: coordinate uses place centroid."
"cm7a0bgom02zzewvgfbmwki7l","TIMPSON I.S.D. POLICE DEPT.","P.O. DRAWER 370","TIMPSON","TX","75975","place_centroid","31.9037288","-94.3953743","Timpson, Shelby County, Texas, 75975, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgo60070ewvg7ulp09uk","TIOGA POLICE DEPT.","PO BOX 206","TIOGA","TX","76271-0206","place_centroid","33.4678371","-96.9151745","Tioga, Grayson County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgo60073ewvg9ghlja3p","TOM BEAN POLICE DEPARTMENT","PO BOX 659","TOM BEAN","TX","75489-0659","place_centroid","33.5201081","-96.4838749","Tom Bean, Grayson County, Texas, 75489, United States","Review: coordinate uses place centroid."
"cm7a0bgo900pkewvgo226affi","TRINIDAD POLICE DEPARTMENT","PO BOX 345","TRINIDAD","TX","75163-0345","place_centroid","32.1440417","-96.0910814","Trinidad, Henderson County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgop03j9ewvgt9nllpwd","TRINITY CO. CONST. PCT. 3","P O BOX 726","TRINITY","TX","75862-0644","place_centroid","30.9451862","-95.375496","Trinity, Trinity County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgop03jhewvg6ygfamd6","TRINITY POLICE DEPT.","P. O. DRAWER 431 201 S. Elm","TRINITY","TX","75862","place_centroid","30.9453451","-95.3755805","Trinity, Trinity County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgom031eewvgjy4nimgw","TROUP POLICE DEPT.","PO BOX 637","TROUP","TX","75789-0637","place_centroid","32.144985","-95.1214981","Troup, Smith County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgom031qewvgie5u9mmc","NOONDAY CITY MARSHAL'S OFFICE","P.O. Box 6425","TYLER","TX","75711","place_centroid","32.3512601","-95.3010624","Tyler, Smith County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgom031vewvgu6pbyfyv","TYLER CITY MARSHAL'S OFFICE","PO Box 895","TYLER","TX","75710","place_centroid","32.3510814","-95.3010843","Tyler, Smith County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxb0007ovrvgsez3548d","BANDERA CO. CONST. PCT. 4","P. O. BOX 377","UTOPIA","TX","78884","place_centroid","29.6152274","-99.5269927","Utopia, Uvalde County, Texas, 78884, United States","Review: coordinate uses place centroid."
"cm7a0bgop03liewvg650z29ov","UVALDE CO. CONST. PCT. 1","Courthouse Plaza #14","UVALDE","TX","78801","place_centroid","29.2098024","-99.7859936","Uvalde, Uvalde County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgop03lsewvgneuh2jdm","UVALDE CO. CONST. PCT. 6","339 King Fisher Ln. Box 4","UVALDE","TX","78801","place_centroid","29.2096228","-99.785981","Uvalde, Uvalde County, Texas, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxb601ayvrvg6u63sobc","VALLEY VIEW POLICE DEPARTMENT","PO BOX 268","VALLEY VIEW","TX","76272-0268","place_centroid","33.4881671","-97.1650129","Valley View, Cooke County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgoq03o9ewvgtqnd4gao","VAN ISD POLICE DEPARTMENT","PO BOX 697","VAN","TX","75790-0697","place_centroid","32.5249071","-95.63773","Van, Van Zandt County, Texas, 75790, United States","Review: coordinate uses place centroid."
"cm7a0bgo60064ewvgzvrdc9ro","GRAYSON CO. CONST. PCT. 4","PO BOX 1964 117 S. Main","Van Alstyne","TX","75495","place_centroid","33.4220266","-96.5764834","Van Alstyne, Grayson County, Texas, 75495, United States","Review: coordinate uses place centroid."
"cm76wpxb701dbvrvgbmviksm8","CULBERSON CO. CONST. PCT. 2","P.O. BOX 551","VAN HORN","TX","79855","place_centroid","31.0429718","-104.831628","Van Horn, Culberson County, Texas, 79855, United States","Review: coordinate uses place centroid."
"cm76wpxb701d8vrvgru1mp8pr","CULBERSON CO. SHERIFF'S OFFICE","P. O. BOX 159","VAN HORN","TX","79855-0159","place_centroid","31.0430826","-104.8317698","Van Horn, Culberson County, Texas, 79855, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgoj02flewvg26js0bod","VEGA CITY MARSHAL'S OFFICE","PO BOX 470","VEGA","TX","79092-0470","place_centroid","35.24603","-102.4252734","Vega, Oldham County, Texas, 79092, United States","Review: coordinate uses place centroid."
"cm7a0bgoc01amewvgbt12u1wb","VENUS FIRE MARSHALS OFFICE","101 West Third St. 700 West Hwy 67","VENUS","TX","76084","place_centroid","32.4334742","-97.1025077","Venus, Johnson County, Texas, 76084, United States","Review: coordinate uses place centroid."
"cm7a0bgoc01aaewvg6jkeivdp","VENUS POLICE DEPT.","PO BOX 380","VENUS","TX","76084-0380","place_centroid","32.4334368","-97.1026838","Venus, Johnson County, Texas, 76084, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm7a0bgoq03p7ewvgkbq87pqr","VICTORIA CO. FIRE MARSHAL'S OFFICE","Victoria Regional Airport 25 North Hangar Drive","VICTORIA","TX","77904","place_centroid","28.7997547","-97.0064246","Victoria, Victoria County, Texas, United States","Review: coordinate uses place centroid."
"cm76wpxb100fjvrvgmko16blt","Von Ormy Police Department","PO BOX 10","VON ORMY","TX","78073","place_centroid","29.286868","-98.6482144","Von Ormy, Bexar County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgog01xdewvgwd6cdt0z","WACO ISD POLICE DEPARTMENT","PO BOX 27","WACO","TX","76703-0027","place_centroid","31.5491899","-97.1474628","Waco, McLennan County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgo800lgewvg7yt1hw75","HARRISON CO. CONST. PCT. 1","PO BOX 150","WASKOM","TX","75692-0150","place_centroid","32.4787645","-94.0596305","Waskom, Harrison County, Texas, 75692, United States","Review: coordinate uses place centroid."
"cm7a0bgo800m0ewvg1lksm0gn","WASKOM POLICE DEPARTMENT","PO BOX 730","WASKOM","TX","75692-0730","place_centroid","32.4785906","-94.0595839","Waskom, Harrison County, Texas, 75692, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
"cm76wpxba01v3vrvggwr6to54","ELLIS CO. CONST. PCT. 2","701 S IH 35 E STE 2","WAXAHACHIE","TX","75165-4729","place_centroid","32.3944908","-96.8439365","Waxahachie, Ellis County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgor03v1ewvgs4ziut7l","WHEELER CO. CONST. PCT. 1","PO Box 618","WHEELER","TX","79096","place_centroid","35.4425853","-100.2728514","Wheeler, Wheeler County, Texas, 79096, United States","Review: coordinate uses place centroid."
"cm7a0bgo6007cewvgp24impnl","WHITEWRIGHT POLICE DEPARTMENT","PO BOX 966","WHITEWRIGHT","TX","75491-0966","place_centroid","33.5122594","-96.3946785","Whitewright, Grayson County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgor03v9ewvgdvfdgjy5","Wichita Co. Juvenile Probation Dept.","P.O. Box 1470","Wichita Falls","TX","76307","place_centroid","33.9004572","-98.5020777","Wichita Falls, Wichita County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgoq03rpewvgn1a0legt","Wickett City Marshal","PO BOX 185","WICKETT","TX","79788-0185","place_centroid","31.568947","-103.0037","Wickett, Ward County, Texas, 79788, United States","Review: coordinate uses place centroid."
"cm7a0bgoq03o1ewvgco1qtgm3","WILLS POINT POLICE DEPT.","P. O. BOX 505","WILLS POINT","TX","75169-0505","place_centroid","32.7092955","-96.0083018","Wills Point, Van Zandt County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgo800n2ewvghnhk4tl3","HAYS CO. CONST. PCT. 3","P. O. BOX 1316 200 Stillwater Road","WIMBERLEY","TX","78676-1316","place_centroid","29.9976807","-98.0987896","Wimberley, Hays County, Texas, United States","Review: coordinate uses place centroid."
"cm7a0bgos041iewvge6vu86uc","WINKLER CO. CONST. PCT. 2 & 4","P.O. BOX 833","Wink","TX","79789","place_centroid","31.7534049","-103.15583","Wink, Winkler County, Texas, 79789, United States","Review: coordinate uses place centroid."
"cm7a0bgos041wewvg3m79rxfp","WINK-LOVING ISD POLICE DEPARTMENT","200 Rosie Dodd Avenue P.O. Box 637","Wink","TX","79789-0637","place_centroid","31.7532523","-103.1559254","Wink, Winkler County, Texas, 79789, United States (pin offset from duplicate place centroid)","Review: coordinate uses place centroid."
